year,mon_DET art_NOUN
1894,2.444997271311422e-07
1895,2.3773527324522092e-07
1896,2.8895442749643507e-07
1897,2.0043894188859213e-07
1898,2.3538756011021178e-07
1899,1.945707559514176e-07
1900,2.865461370404887e-07
1901,1.8666387813226493e-07
1902,1.58111137738004e-07
1903,1.8684762626008933e-07
1904,2.6335663871890347e-07
1905,2.8590605971601235e-07
1906,2.2274319366744066e-07
1907,2.437707724567417e-07
1908,2.971390353767589e-07
1909,2.9870340279014584e-07
1910,2.581224720632491e-07
1911,2.5803814596159214e-07
1912,2.8599722057265353e-07
1913,2.7893726706196276e-07
1914,2.6586072987555553e-07
1915,1.5786220675106932e-07
1916,1.6481193565454078e-07
1917,1.4037023632340606e-07
1918,2.51551639074421e-07
1919,2.64265241689543e-07
1920,2.536697554234024e-07
1921,3.7030735988707875e-07
1922,3.6373221234953235e-07
1923,4.235763229054612e-07
1924,4.4733937354379805e-07
1925,3.629398790394589e-07
1926,3.722810362205564e-07
1927,3.9245271787891056e-07
1928,3.1535873912247325e-07
1929,3.364402623162732e-07
1930,2.804462209127223e-07
1931,3.0110140603056834e-07
1932,2.88235798784342e-07
1933,2.1794257887286506e-07
1934,2.3963160522555427e-07
1935,1.9987034249879798e-07
1936,3.0311786458625534e-07
1937,2.568588080009704e-07
1938,3.020894894234516e-07
1939,2.278813466816132e-07
1940,2.053984160532707e-07
1941,1.8299316550951517e-07
1942,4.3996070075991156e-07
1943,3.8613026998035593e-07
1944,4.177142063355177e-07
1945,2.614204905881934e-07
1946,4.5661221825810117e-07
1947,3.623944859754147e-07
1948,3.652954343458248e-07
1949,3.0236385217818906e-07
1950,3.254420715137485e-07
1951,2.2495557194801563e-07
1952,3.026358683655417e-07
1953,2.6503616012973907e-07
1954,3.11743910685891e-07
1955,2.9189238981430776e-07
1956,2.607621301109475e-07
1957,2.791871915874822e-07
1958,3.788687443773142e-07
1959,3.115800715214334e-07
1960,3.820300129575571e-07
1961,3.1544643341874234e-07
1962,2.9743776686075307e-07
1963,3.4787365787991575e-07
1964,2.7864575669056535e-07
1965,3.3105863650462197e-07
1966,2.547974329303315e-07
1967,3.32797643665117e-07
1968,4.486924316537966e-07
1969,3.024810566465419e-07
1970,3.021362200428257e-07
1971,3.858936494793852e-07
1972,3.175560800983135e-07
1973,2.651851085389012e-07
1974,1.9576989629399577e-07
1975,2.2103428554132165e-07
1976,2.3768272416901937e-07
1977,2.4917554330983194e-07
1978,3.1485134366349143e-07
1979,2.633388045403251e-07
1980,2.9051119554424076e-07
1981,2.0178503468137876e-07
1982,2.5388684132821027e-07
1983,2.1787839887821292e-07
1984,2.783523997962334e-07
1985,2.5927055524732623e-07
1986,2.9372979781783215e-07
1987,2.9454136196704894e-07
1988,2.968294241512126e-07
1989,2.612346099439833e-07
1990,2.1522171467225348e-07
1991,2.9776243160029026e-07
1992,3.0910786819049463e-07
1993,2.6975940770057605e-07
1994,2.600538779873318e-07
1995,2.808829542289004e-07
1996,2.717088918302579e-07
1997,2.3111391556085437e-07
1998,2.884718135476305e-07
1999,2.4084960426051794e-07
2000,2.845212327962088e-07
2001,2.655014377239695e-07
2002,2.7251198098099394e-07
2003,3.4043759544744034e-07
2004,3.1274018574833917e-07
2005,2.9904896070576115e-07
2006,3.6731578312299007e-07
2007,2.9319479377676316e-07
2008,3.039811904415046e-07
2009,3.037338682787549e-07
2010,2.8909613192240613e-07
2011,2.9826981240432815e-07
2012,3.516593185537431e-07
2013,4.144639937919692e-07
2014,4.592909359502073e-07
2015,3.936637762436135e-07
2016,4.3870981514260166e-07
2017,3.5470120884895096e-07
2018,4.210372130941664e-07
2019,4.497391330460232e-07
