year,fût_VERB à_ADP,fût_VERB a_ADP
1850,1.7264417238038732e-06,2.0366988096043315e-09
1851,1.842604660851066e-06,4.514607354622058e-09
1852,1.5924794070087955e-06,3.906327261660181e-09
1853,1.5825619357201504e-06,1.7915795513800958e-09
1854,1.8065325093630236e-06,6.7543638460065836e-09
1855,1.6881366491361405e-06,3.714855978387277e-09
1856,1.7260748563785455e-06,3.1063134287023786e-09
1857,1.9052530433327775e-06,8.298565390418844e-09
1858,1.752914727148891e-06,3.91494070495213e-09
1859,1.8128137071471428e-06,2.036869339860914e-09
1860,1.7498574607088813e-06,2.746310290291376e-09
1861,1.7835774315244635e-06,3.301174722469824e-09
1862,1.7213527598869405e-06,1.355395878865906e-09
1863,1.7131549157056725e-06,4.495158911765884e-09
1864,1.689182681730017e-06,6.233146554457392e-09
1865,1.7274119272769894e-06,4.236159978354692e-09
1866,1.7647578260948649e-06,7.784980660119345e-09
1867,1.8120398408427718e-06,4.85281148598915e-09
1868,1.6430020650659571e-06,2.469937032678615e-09
1869,1.7658804836173658e-06,4.883519144627257e-10
1870,1.5441793266290915e-06,4.013834153937523e-09
1871,1.5836175180083956e-06,1.0621177271019633e-09
1872,1.5686798633396393e-06,1.8142017887967654e-09
1873,1.7269622958338005e-06,4.1902030178953e-09
1874,1.6573566199440393e-06,2.987304570378768e-09
1875,1.783972152225033e-06,4.00506905418041e-09
1876,1.575591454638925e-06,3.02300739996042e-09
1877,1.4484838857242721e-06,4.9478527941460015e-09
1878,1.3895943311581505e-06,4.8312708278430705e-09
1879,1.5010612059995765e-06,2.443730107160036e-09
1880,1.5499098253712873e-06,1.9253538763308597e-09
1881,1.4572540294466307e-06,6.2752567586699115e-09
1882,1.50877576743369e-06,4.658769592325029e-09
1883,1.3877267974748975e-06,1.8958017378167824e-09
1884,1.5137691207200987e-06,1.3203393933736152e-09
1885,1.4212627093002084e-06,5.156508553483263e-09
1886,1.3468379620462656e-06,5.808117542471791e-09
1887,1.3540989129978698e-06,2.6115699047757346e-09
1888,1.439953621229506e-06,5.07249175996094e-09
1889,1.4090292097534984e-06,2.5060546970934183e-09
1890,1.389529984408e-06,3.277193239004106e-09
1891,1.3162764389562653e-06,2.5496880162734215e-09
1892,1.2518219136836706e-06,1.2537024751679837e-09
1893,1.2470793535612756e-06,3.079208221734575e-09
1894,1.2048543567289016e-06,3.150769645188234e-09
1895,1.4378470041265246e-06,6.018614495673091e-10
1896,1.3197550288168713e-06,1.7691086373616827e-09
1897,1.2003030178675544e-06,2.330685422435863e-09
1898,1.2154146133980248e-06,1.13167097914868e-09
1899,1.2503381867645658e-06,3.3165470370022376e-09
1900,1.2484482567742816e-06,5.191053142894475e-10
1901,1.1468092679933761e-06,2.235495621949468e-09
1902,1.1249460385442944e-06,9.820567692386817e-10
1903,1.2031690630465164e-06,5.400220270956879e-10
1904,1.1474825214463635e-06,0.0
1905,1.1585904076127918e-06,1.0321518084666081e-09
1906,1.1672154869302176e-06,3.086510713679047e-09
1907,1.0511971595406067e-06,3.08570607954195e-09
1908,1.1522118938955828e-06,3.437972351250096e-09
1909,1.228919700224651e-06,4.9508852018043115e-09
1910,1.1538021453816327e-06,1.068830135508847e-09
1911,1.1715463870132226e-06,5.32037403022656e-09
1912,1.200771635012643e-06,0.0
1913,1.112036898121005e-06,4.242391826725367e-09
1914,1.1444734582255478e-06,2.678697486047099e-09
1915,1.0390632496637409e-06,1.1780761921542648e-09
1916,9.899703172777663e-07,0.0
1917,1.0747096439445158e-06,1.0966424435210342e-09
1918,1.033773855851905e-06,1.1486376294556067e-09
1919,1.1804461337305838e-06,9.207848372660976e-10
1920,1.3364989399633487e-06,0.0
1921,1.2419305903677014e-06,7.572747429129834e-10
1922,1.2114570608900976e-06,1.4755870969551665e-09
1923,1.182616642836365e-06,4.246379248229459e-09
1924,1.175716192847176e-06,1.289162443462999e-09
1925,1.1372115977792419e-06,1.0998177923937646e-09
1926,1.0466224011906888e-06,1.1146138456652466e-09
1927,1.2420236998877954e-06,2.2298449753321847e-09
1928,9.792116770768189e-07,3.4278123672848437e-09
1929,1.0750492265287903e-06,4.4561625500705304e-09
1930,1.1637993111435208e-06,3.1510810627466412e-09
1931,9.580500091033173e-07,1.1405356659111021e-09
1932,1.0367721188231371e-06,1.0959536611565568e-09
1933,8.752115263632732e-07,4.588264879146209e-09
1934,1.0759458746179007e-06,1.1981580172459871e-09
1935,9.52675407006609e-07,4.787313656606784e-09
1936,9.287531383961323e-07,2.424942913137329e-09
1937,8.813782983452256e-07,1.2591118148108649e-09
1938,9.010823873722984e-07,0.0
1939,8.763490768615156e-07,0.0
1940,8.393441248699673e-07,0.0
1941,8.972567684395472e-07,0.0
1942,9.557767270962358e-07,0.0
1943,1.146777890426165e-06,0.0
1944,1.1438942237873562e-06,3.2131861615880553e-09
1945,1.1938202533201547e-06,0.0
1946,1.1387463700884837e-06,1.3921104269343232e-09
1947,1.205200078402413e-06,1.1920870957027319e-09
1948,1.061096213561541e-06,1.0871887834440486e-09
1949,8.943294460550533e-07,0.0
1950,1.0146135309696547e-06,3.190608444114673e-09
1951,1.003237912300392e-06,2.1322803522849654e-09
1952,9.374330716127588e-07,2.1089607837865287e-09
1953,1.0622993613651488e-06,3.232148326759443e-09
1954,9.469587212151964e-07,6.840775057526116e-09
1955,8.70984422363108e-07,5.631364707880948e-09
1956,7.831584980522166e-07,0.0
1957,8.684842214279342e-07,1.7670075402875796e-09
1958,8.809939231468888e-07,1.6544486891589827e-09
1959,8.107282383207348e-07,7.750747821333448e-10
1960,8.42265421852062e-07,0.0
1961,8.268309557024622e-07,6.948159270159238e-10
1962,8.663112680551421e-07,0.0
1963,8.774434263614239e-07,0.0
1964,8.943433726926742e-07,1.2167936658258327e-09
1965,8.547331731278973e-07,1.0944086747954884e-09
1966,8.253221608356398e-07,2.215629901769489e-09
1967,9.002793035506329e-07,9.860671168482327e-10
1968,8.955883004091447e-07,4.4914158503495116e-10
1969,7.789114420120313e-07,3.6334061870313406e-09
1970,7.054443926790555e-07,3.219107563845469e-09
1971,6.972805408622662e-07,1.541519245584766e-09
1972,6.607629075006116e-07,2.565073486948677e-09
1973,6.009391881889314e-07,5.513203782392395e-10
1974,5.653699304275506e-07,0.0
1975,5.951362140876881e-07,1.1422960355389478e-09
1976,5.307866217663104e-07,1.142705374768127e-09
1977,4.871852183896408e-07,5.876781838942691e-10
1978,6.374254439833749e-07,2.3762365408686037e-09
1979,6.033384352122084e-07,0.0
1980,5.69083567825146e-07,1.1370301367108482e-09
1981,5.389368311625731e-07,0.0
1982,5.655034556184546e-07,1.2415004579935385e-09
1983,5.153298161530984e-07,1.2630632095778083e-09
1984,5.282896609060117e-07,1.7397025486864948e-09
1985,5.041037525188585e-07,6.015558051686298e-10
1986,5.137274001754122e-07,5.994485463567401e-10
1987,4.992537583348167e-07,6.110816852533674e-10
1988,5.121057142787322e-07,0.0
1989,5.504586511051457e-07,1.6464366536794728e-09
1990,4.4460992398853705e-07,1.089730194969718e-09
1991,4.6598648850704194e-07,1.1722930404189924e-09
1992,5.27301665442792e-07,0.0
1993,4.597542044848524e-07,0.0
1994,4.6788599661340413e-07,0.0
1995,5.053724407844129e-07,0.0
1996,4.4786594344259356e-07,0.0
1997,4.3969183138869994e-07,4.79489448146353e-10
1998,4.215026194742677e-07,4.768129224785866e-10
1999,4.387393062188494e-07,4.570201161957499e-10
2000,4.0204085394179856e-07,4.4180314962005696e-10
2001,3.8905159271962475e-07,8.762423564512289e-10
2002,4.4732271931025025e-07,4.38122149670761e-10
2003,4.3919368408751325e-07,4.1669229178253886e-10
2004,4.272647515790595e-07,4.404791253964646e-10
2005,4.5172609475230274e-07,1.3511248786457486e-09
2006,4.4926179043613956e-07,8.235779835885637e-10
2007,4.3180324382774415e-07,0.0
2008,4.2659544874368294e-07,0.0
2009,4.734815206575149e-07,0.0
2010,5.644932912218792e-07,9.447586046817946e-10
2011,5.724485845348681e-07,7.64794394481072e-10
2012,7.305526423806441e-07,0.0
2013,8.794111181487096e-07,0.0
2014,1.0727615062933182e-06,6.496335691608124e-10
2015,1.0025570418292773e-06,0.0
2016,1.0197206847806228e-06,6.21402013178951e-10
2017,6.168278900986479e-07,0.0
2018,8.642750799481291e-07,2.5814667070633845e-10
2019,9.349370202471619e-07,0.0
