year,différents_DET auteurs_NOUN
1879,1.5945339271183911e-07
1880,2.0922178123328194e-07
1881,2.3009275196272938e-07
1882,2.282797169073092e-07
1883,1.7314988554062438e-07
1884,1.7362462756409514e-07
1885,1.875680055718476e-07
1886,2.4974906409624964e-07
1887,2.3895864842415904e-07
1888,1.9338874324148492e-07
1889,2.3494263245993352e-07
1890,2.5234388090211723e-07
1891,2.179983198402624e-07
1892,2.595164119156834e-07
1893,2.081544749898967e-07
1894,2.0921110888139083e-07
1895,2.648190502441139e-07
1896,2.4000908638299734e-07
1897,2.942490482382709e-07
1898,2.806544046052295e-07
1899,2.7748444608732825e-07
1900,2.746067195857904e-07
1901,2.6993609480996383e-07
1902,2.5631680955484626e-07
1903,2.538103558435978e-07
1904,2.8969230925213196e-07
1905,2.9467935291904723e-07
1906,3.0042036769373226e-07
1907,2.8131353246863e-07
1908,2.632504561006499e-07
1909,3.157564663069934e-07
1910,3.3133733268186916e-07
1911,3.2879913192118693e-07
1912,2.9902076903454144e-07
1913,3.505276140458591e-07
1914,3.026928254712402e-07
1915,2.2501255614315596e-07
1916,2.636990927840088e-07
1917,3.5202222647967574e-07
1918,3.2621309742353333e-07
1919,2.734730912834493e-07
1920,3.0743260026611097e-07
1921,3.256281502217462e-07
1922,3.799636658641248e-07
1923,2.8238420668458275e-07
1924,2.7845908334711567e-07
1925,2.958509810468968e-07
1926,4.112925182653271e-07
1927,3.712691807322699e-07
1928,4.1590789123802097e-07
1929,3.4312452612539346e-07
1930,4.159427078320732e-07
1931,4.881492827735201e-07
1932,3.923514100279135e-07
1933,4.897972871731326e-07
1934,4.840558176510967e-07
1935,6.29531768936431e-07
1936,5.831987550664053e-07
1937,5.477136255649384e-07
1938,5.523181130229204e-07
1939,5.888209670956712e-07
1940,4.817987360183906e-07
1941,4.988039563613711e-07
1942,5.552607262870879e-07
1943,4.790338152815821e-07
1944,4.048614528073813e-07
1945,4.226297960485681e-07
1946,3.800461456648918e-07
1947,4.0292545122611045e-07
1948,4.674911906477064e-07
1949,4.358751652944193e-07
1950,4.998619829166273e-07
1951,4.424481687692605e-07
1952,4.6397136088671687e-07
1953,5.085246357339201e-07
1954,5.140353778188e-07
1955,4.871130272476876e-07
1956,5.45943464658194e-07
1957,5.742774646932958e-07
1958,5.608580977423117e-07
1959,4.836466587221366e-07
1960,5.944995677964471e-07
1961,6.225550919225498e-07
1962,5.853625566487608e-07
1963,5.011191319681529e-07
1964,5.43298369848344e-07
1965,5.083528549221228e-07
1966,5.300894372339826e-07
1967,4.175994376964809e-07
1968,4.0692228253647045e-07
1969,3.751491988168709e-07
1970,3.954903604608262e-07
1971,4.1569634845473047e-07
1972,3.970733644109714e-07
1973,3.8041105199226877e-07
1974,3.650995950010838e-07
1975,3.4383111824354273e-07
1976,3.5595272152022517e-07
1977,3.6200975728206686e-07
1978,3.005939106515143e-07
1979,3.663335235160048e-07
1980,3.411090290228458e-07
1981,3.2070536803985306e-07
1982,2.843036099875462e-07
1983,3.290279551038111e-07
1984,2.568960724147473e-07
1985,2.640829848132853e-07
1986,2.7394798962632194e-07
1987,2.7254242240815074e-07
1988,2.6924527674054843e-07
1989,2.2446420189226046e-07
1990,2.108627938923746e-07
1991,2.2449411574143596e-07
1992,2.0221494878569501e-07
1993,2.055045911220077e-07
1994,2.2629434681675775e-07
1995,1.9575047360831377e-07
1996,2.0498274011515605e-07
1997,1.8700087878187333e-07
1998,1.8834110449006403e-07
1999,2.1982667419706559e-07
2000,2.041130500174404e-07
2001,1.9671641382501548e-07
2002,2.3045224395445985e-07
2003,2.0001229472654813e-07
2004,1.9557273844839074e-07
2005,1.7249361405902164e-07
2006,1.8406967683404218e-07
2007,1.6217586562561337e-07
2008,1.4092125866227434e-07
2009,1.6164172222943307e-07
2010,1.3604524440324894e-07
2011,1.105127864775568e-07
2012,1.0757438673181241e-07
2013,8.395266348770747e-08
2014,6.79949820892034e-08
2015,7.979671323710136e-08
2016,7.47753787777583e-08
2017,8.024800024486467e-08
2018,9.57724139993843e-08
2019,7.652963063264906e-08
