year,entretiens_NOUN ouverts_ADJ
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,1.6032452032632705e-09
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,1.1149224876660924e-09
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,0.0
1950,0.0
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,0.0
1956,0.0
1957,8.835037701437898e-10
1958,0.0
1959,0.0
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,4.930335584241163e-10
1968,8.982831700699023e-10
1969,4.5417578031781147e-10
1970,0.0
1971,3.5968783507200897e-09
1972,2.565073486948677e-09
1973,5.513203782392395e-10
1974,5.625571675160757e-10
1975,0.0
1976,0.0
1977,5.876781838942691e-10
1978,1.1881182704343018e-09
1979,1.7555920051037788e-09
1980,5.685150683554241e-10
1981,3.795329828193417e-09
1982,4.345251713999687e-09
1983,1.89459470334441e-09
1984,4.639206796497319e-09
1985,2.4062232206745193e-09
1986,1.1988970927134801e-09
1987,1.8332451112712533e-09
1988,2.99827696004229e-09
1989,3.2928733073589456e-09
1990,2.179460389939436e-09
1991,5.861465202094962e-10
1992,3.856960972825618e-09
1993,1.661762283333701e-09
1994,2.637463358823311e-09
1995,2.7112254663563817e-09
1996,5.871901187504136e-09
1997,3.835915585170824e-09
1998,8.582632382569955e-09
1999,9.140402212892695e-09
2000,3.092622158362701e-09
2001,1.7086726700199506e-08
2002,1.0953053575235572e-08
2003,1.583430631058036e-08
2004,7.928623979580607e-09
2005,9.007498746882447e-09
2006,7.412201963319376e-09
2007,9.18730247434496e-09
2008,5.960415716543821e-09
2009,3.814554005998616e-09
2010,6.613310343794865e-09
2011,8.030340836739924e-09
2012,7.148930780687124e-09
2013,5.29933741333366e-09
2014,7.145969149746634e-09
2015,4.876465897751814e-09
2016,3.935546111222266e-09
2017,6.5405894034142875e-09
2018,2.8396134332808742e-09
2019,2.04079020349468e-09
