year,petit_ADJ air_NOUN
1969,4.051248083669634e-07
1970,4.115858871500677e-07
1971,5.503223974301363e-07
1972,4.663303627694404e-07
1973,3.5284503496768593e-07
1974,3.707251607920625e-07
1975,3.3697733670123853e-07
1976,3.548100266925758e-07
1977,3.196969373675529e-07
1978,4.199998215881351e-07
1979,3.979342011461995e-07
1980,4.2922889065266645e-07
1981,4.611325721270987e-07
1982,3.929349077225197e-07
1983,4.117586058782763e-07
1984,4.2564721525195637e-07
1985,3.9221438896674954e-07
1986,4.615753823600244e-07
1987,3.941476904856245e-07
1988,3.747846051282977e-07
1989,3.7154586607357487e-07
1990,4.5278289917405345e-07
1991,3.9330430467998667e-07
1992,4.176537800049118e-07
1993,4.292885762424703e-07
1994,4.436213316694193e-07
1995,4.408452412008046e-07
1996,4.4359546791383764e-07
1997,3.8263257806647744e-07
1998,3.943242745663156e-07
1999,3.3453872561040043e-07
2000,3.591859467633185e-07
2001,3.456776198618172e-07
2002,4.0219612174041686e-07
2003,3.8544035874110705e-07
2004,4.052407973631489e-07
2005,4.3055845821982075e-07
2006,4.513207443324063e-07
2007,5.752050356022664e-07
2008,7.322796022890543e-07
2009,6.565800845237391e-07
2010,9.334215178569139e-07
2011,1.2106695521652e-06
2012,1.2772756008416764e-06
2013,1.3507732319339993e-06
2014,1.340627136414696e-06
2015,1.4882086816214724e-06
2016,1.5145637917157728e-06
2017,1.3669831560036982e-06
2018,1.495701781095704e-06
2019,1.5211539903248195e-06
