year,aux_ADP eaux_NOUN
1898,3.2614757063953448e-06
1899,3.372928309985923e-06
1900,3.1634277384284815e-06
1901,3.0631878296105697e-06
1902,2.8243951923911936e-06
1903,3.4285998609107082e-06
1904,3.286045743067234e-06
1905,3.0236887518242384e-06
1906,3.360181295875009e-06
1907,2.879992280213628e-06
1908,3.0941751774093973e-06
1909,3.0101382684222244e-06
1910,3.3903293044090788e-06
1911,2.9544037545292667e-06
1912,3.0068778951175545e-06
1913,2.7899029930722463e-06
1914,2.698787728405705e-06
1915,2.220673532615791e-06
1916,2.2172698876943286e-06
1917,2.071557680949354e-06
1918,2.064101794374551e-06
1919,2.204358924728922e-06
1920,2.267883445483676e-06
1921,2.3990464246281817e-06
1922,2.7563966220611746e-06
1923,2.380095640575064e-06
1924,2.5615658660882445e-06
1925,2.5691744021116847e-06
1926,2.1980185849201916e-06
1927,2.65909023866584e-06
1928,2.3274845055709648e-06
1929,2.3829329673930033e-06
1930,2.5124620428584876e-06
1931,2.185266243515116e-06
1932,2.266432183262168e-06
1933,2.4696335252372137e-06
1934,2.4358552295211666e-06
1935,2.161472160366884e-06
1936,2.2600467524114265e-06
1937,2.116566883980653e-06
1938,2.1651907946562687e-06
1939,2.2145785747440527e-06
1940,2.426744296180061e-06
1941,2.2815115485741444e-06
1942,2.4273693295384646e-06
1943,2.4416208086464053e-06
1944,1.7351205627846866e-06
1945,1.8582639409459034e-06
1946,1.8501147280858277e-06
1947,1.80243573399963e-06
1948,1.9960786410422315e-06
1949,1.848542678928311e-06
1950,2.0292270388466704e-06
1951,2.0757748222521855e-06
1952,2.1015794349210637e-06
1953,1.87787811967155e-06
1954,2.0688458768347573e-06
1955,1.8911999255522005e-06
1956,1.823590656258034e-06
1957,2.0585638385028915e-06
1958,2.0589614422306113e-06
1959,1.926835943244498e-06
1960,1.8630882969716822e-06
1961,1.9711927397025875e-06
1962,1.7319882541499965e-06
1963,1.8292464885050208e-06
1964,1.8750789969601556e-06
1965,1.7395626281668797e-06
1966,1.699942078658978e-06
1967,1.5688328369733995e-06
1968,1.7224580073360585e-06
1969,1.5637272010593506e-06
1970,1.7167040438081926e-06
1971,1.678200632682092e-06
1972,1.6442120243098657e-06
1973,1.5420430745649583e-06
1974,1.4710869749023914e-06
1975,1.5980722078978715e-06
1976,1.4443795803842363e-06
1977,1.3710532495991856e-06
1978,1.448316185648224e-06
1979,1.7269173215872513e-06
1980,1.5548887062344363e-06
1981,1.3789697419497315e-06
1982,1.544426535993182e-06
1983,1.343899265648929e-06
1984,1.3813238100013336e-06
1985,1.6097633457334837e-06
1986,1.5879391597195536e-06
1987,1.4452081895655056e-06
1988,1.2604755763589992e-06
1989,1.3753234755498056e-06
1990,1.4270017452133743e-06
1991,1.3768581208495334e-06
1992,1.428728560348702e-06
1993,1.2668167705953692e-06
1994,1.433197537537012e-06
1995,1.2363187735786596e-06
1996,1.254451706955706e-06
1997,1.1771465757703936e-06
1998,1.1305234552949628e-06
1999,1.268687850775052e-06
2000,1.173870980863967e-06
2001,1.1649642326361231e-06
2002,1.1776723436440761e-06
2003,1.1921566098749281e-06
2004,1.191495990759961e-06
2005,1.1597155742393284e-06
2006,1.1707160831875285e-06
2007,1.119253095094308e-06
2008,1.3449252431740888e-06
2009,1.325557462017457e-06
2010,1.300460217734667e-06
2011,1.3873370336980884e-06
2012,1.4781264763286117e-06
2013,1.2366980790545767e-06
2014,1.382203651090208e-06
2015,1.5352001083712707e-06
2016,1.8057942234861457e-06
2017,1.313400698421674e-06
2018,1.3883128469061035e-06
2019,1.5050827668616762e-06
