year,certain_ADJ or_NOUN
1880,5.134277003548959e-09
1881,1.2550513628362125e-08
1882,5.324308105514319e-09
1883,1.8958017378167824e-09
1884,5.281357573494461e-09
1885,9.023889857573408e-09
1886,3.872078213618124e-09
1887,6.528924512139156e-09
1888,6.340614699951175e-10
1889,5.012109394186837e-09
1890,1.3108772956016423e-09
1891,5.099376032546843e-09
1892,1.8805537127519756e-09
1893,0.0
1894,6.301539290376468e-09
1895,3.611168697403855e-09
1896,4.1279202278587945e-09
1897,5.826713556089658e-10
1898,1.6975064687230201e-09
1899,6.633094074004475e-09
1900,2.5955265714472375e-09
1901,2.794369402536745e-09
1902,2.9461704187383475e-09
1903,6.48026410310365e-09
1904,2.1498500757388683e-09
1905,3.6125313851442797e-09
1906,6.173021205313489e-09
1907,4.114274698707732e-09
1908,5.893667109901912e-09
1909,2.7504918342913243e-09
1910,3.206490406526541e-09
1911,9.044636151145369e-09
1912,2.6047106693738442e-09
1913,1.590896969716482e-09
1914,1.4063162190325329e-08
1915,2.3561523843085297e-09
1916,0.0
1917,4.386569774084137e-09
1918,0.0
1919,1.8415696745321952e-09
1920,1.2872794385998532e-08
1921,4.543648568500203e-09
1922,1.4755870969551665e-09
1923,8.492758496458919e-09
1924,1.1602461880144688e-08
1925,3.299453377181294e-09
1926,3.343841648018042e-09
1927,2.2298449753321847e-09
1928,1.3711249802206282e-08
1929,3.342121912552898e-09
1930,2.100720708497761e-09
1931,3.4216069977333063e-09
1932,2.1919073223131136e-09
1933,0.0
1934,1.1981580172459871e-08
1935,0.0
1936,1.2124714565686645e-09
1937,0.0
1938,9.075650453382877e-09
1939,7.647025235257843e-09
1940,0.0
1941,2.9515025978810172e-09
1942,0.0
1943,8.709705845433291e-09
1944,0.0
1945,0.0
1946,4.1763312808029696e-09
1947,5.960435478513659e-09
1948,2.174377566888097e-09
1949,6.8719057111366055e-09
1950,3.190608444114673e-09
1951,4.264560704569931e-09
1952,0.0
1953,1.0773827385790469e-09
1954,0.0
1955,7.508486277174597e-09
1956,1.744228317335228e-09
1957,2.6505113659425206e-09
1958,0.0
1959,6.9756733722670106e-09
1960,5.536666791705613e-09
1961,2.779263708063695e-09
1962,6.341956571009888e-09
1963,1.9398159745165344e-09
1964,5.475571551727398e-09
1965,5.472043540510896e-09
1966,1.1078149508847446e-09
1967,1.9721342336964653e-09
1968,1.7965663401398047e-09
1969,4.995933444718048e-09
1970,1.8394900047624674e-09
1971,6.166077093361366e-09
1972,1.0260293725750103e-09
1973,1.102640756478479e-09
1974,6.750685843659454e-09
1975,1.7134440533084216e-09
1976,2.856763492431469e-09
1977,9.402850942308305e-09
1978,3.5643548113029055e-09
1979,1.7555920051037788e-09
1980,2.8425753972882717e-09
1981,1.8976649140967083e-09
1982,1.2415004579935385e-09
1983,1.2630632095778083e-09
1984,4.059305780401701e-09
1985,4.210890747202711e-09
1986,1.7983456390702202e-09
1987,1.2221633705067347e-09
1988,1.1993107618124554e-09
1989,5.488122178931576e-10
1990,1.089730194969718e-09
1991,1.7584396161396398e-09
1992,2.2039776670368383e-09
1993,5.539207426075166e-10
1994,5.274926606624319e-10
1995,3.253470381991974e-09
1996,3.2028553142993132e-09
1997,2.876936688878118e-09
1998,4.768129224785866e-10
1999,1.3710603763428253e-09
2000,2.2090156370779823e-09
2001,8.762423564512289e-10
2002,4.38122149670761e-10
2003,4.1669229178253886e-10
2004,4.404791253964646e-10
2005,1.8014998381943315e-09
2006,8.235779835885637e-10
2007,7.988958938831558e-10
2008,1.7029758714315335e-09
2009,1.430457752249481e-09
2010,1.8895172093635892e-09
2011,1.911985902935953e-09
2012,1.7021263287730903e-09
2013,1.3945624655065103e-09
2014,1.5158115873603606e-09
2015,1.10828768384863e-09
2016,2.4856081637381067e-09
2017,7.54683426862357e-10
2018,7.744400121190154e-10
2019,1.02039510174734e-09
